entity_id,event_type,event,time,resource_id,value,fuel_level_start,fuel_level_end
StationTank,fuel_level_change,fuel_level_change,6226.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6227.0,,520.0,,
Car 122,arrival_departure,arrival,6228.0,,,,
Car 122,queue,pump_queue_wait_begins,6228.0,,,19.0,50.0
StationTank,fuel_level_change,fuel_level_change,6228.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6229.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6230.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6231.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6232.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6233.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6234.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6235.0,,520.0,,
Car 110,resource_use_end,payment_ends,6236.0,1.0,,20.0,50.0
Car 110,resource_use,pumping_begins,6236.0,1.0,,20.0,50.0
StationTank,fuel_level_change,fuel_level_change,6236.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6237.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6238.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6239.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6240.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6241.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6242.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6243.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6244.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6245.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6246.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6247.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6248.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6249.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6250.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6251.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6252.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6253.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6254.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6255.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6256.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6257.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6258.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6259.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6260.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6261.0,,520.0,,
StationTank,fuel_level_change,fuel_level_change,6262.0,,520.0,,
Car 109,resource_use_end,pumping_ends,6263.0,2.0,,6.0,50.0
Car 109,arrival_departure,depart,6263.0,,,,
StationTank,fuel_level_change,fuel_level_change,6263.0,,520.0,,
Car 111,resource_use,payment_begins,6263.0,2.0,,10.0,50.0
StationTank,fuel_level_change,fuel_level_change,6264.0,,480.0,,
